timestamp,uuid,screenOn,timezone,utc_date_time,local_date_time,local_date,local_time,local_hour,local_minute
1484176447,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-11 23:14:07,2017-01-11 23:14:07,2017-01-11,23:14:07,23,14
1484176587,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-11 23:16:27,2017-01-11 23:16:27,2017-01-11,23:16:27,23,16
1484325028,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:30:28,2017-01-13 16:30:28,2017-01-13,16:30:28,16,30
1484325080,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:31:20,2017-01-13 16:31:20,2017-01-13,16:31:20,16,31
1484325200,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:33:20,2017-01-13 16:33:20,2017-01-13,16:33:20,16,33
1484325280,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:34:40,2017-01-13 16:34:40,2017-01-13,16:34:40,16,34
1484325380,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:36:20,2017-01-13 16:36:20,2017-01-13,16:36:20,16,36
1484325470,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:37:50,2017-01-13 16:37:50,2017-01-13,16:37:50,16,37
1484325580,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:39:40,2017-01-13 16:39:40,2017-01-13,16:39:40,16,39
1484325680,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:41:20,2017-01-13 16:41:20,2017-01-13,16:41:20,16,41
1484325770,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:42:50,2017-01-13 16:42:50,2017-01-13,16:42:50,16,42
1484325890,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:44:50,2017-01-13 16:44:50,2017-01-13,16:44:50,16,44
1484325980,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:46:20,2017-01-13 16:46:20,2017-01-13,16:46:20,16,46
1484326070,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:47:50,2017-01-13 16:47:50,2017-01-13,16:47:50,16,47
1484326180,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:49:40,2017-01-13 16:49:40,2017-01-13,16:49:40,16,49
1484326280,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:51:20,2017-01-13 16:51:20,2017-01-13,16:51:20,16,51
1484326354,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:52:34,2017-01-13 16:52:34,2017-01-13,16:52:34,16,52
1484326460,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:54:20,2017-01-13 16:54:20,2017-01-13,16:54:20,16,54
1484326550,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:55:50,2017-01-13 16:55:50,2017-01-13,16:55:50,16,55
1484326660,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:57:40,2017-01-13 16:57:40,2017-01-13,16:57:40,16,57
1484326760,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:59:20,2017-01-13 16:59:20,2017-01-13,16:59:20,16,59
1484326850,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-13 17:00:50,2017-01-13 17:00:50,2017-01-13,17:00:50,17,0
1484326852,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-13 17:00:52,2017-01-13 17:00:52,2017-01-13,17:00:52,17,0
1484326919,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 17:01:59,2017-01-13 17:01:59,2017-01-13,17:01:59,17,1
1484419827,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-14 18:50:27,2017-01-14 18:50:27,2017-01-14,18:50:27,18,50
1484682759,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 19:52:39,2017-01-17 19:52:39,2017-01-17,19:52:39,19,52
1484683886,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 20:11:26,2017-01-17 20:11:26,2017-01-17,20:11:26,20,11
1484684270,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 20:17:50,2017-01-17 20:17:50,2017-01-17,20:17:50,20,17
1484684429,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 20:20:29,2017-01-17 20:20:29,2017-01-17,20:20:29,20,20
1484687370,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 21:09:30,2017-01-17 21:09:30,2017-01-17,21:09:30,21,9
1484688768,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 21:32:48,2017-01-17 21:32:48,2017-01-17,21:32:48,21,32
1484689960,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 21:52:40,2017-01-17 21:52:40,2017-01-17,21:52:40,21,52
1484691071,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 22:11:11,2017-01-17 22:11:11,2017-01-17,22:11:11,22,11
1484691632,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 22:20:32,2017-01-17 22:20:32,2017-01-17,22:20:32,22,20
1484730361,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-18 09:06:01,2017-01-18 09:06:01,2017-01-18,09:06:01,9,6
1484730417,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:06:57,2017-01-18 09:06:57,2017-01-18,09:06:57,9,6
1484730497,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:08:17,2017-01-18 09:08:17,2017-01-18,09:08:17,9,8
1484730568,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:09:28,2017-01-18 09:09:28,2017-01-18,09:09:28,9,9
1484730677,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:11:17,2017-01-18 09:11:17,2017-01-18,09:11:17,9,11
1484730748,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:12:28,2017-01-18 09:12:28,2017-01-18,09:12:28,9,12
1484730857,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:14:17,2017-01-18 09:14:17,2017-01-18,09:14:17,9,14
1484730928,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:15:28,2017-01-18 09:15:28,2017-01-18,09:15:28,9,15
1484731037,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:17:17,2017-01-18 09:17:17,2017-01-18,09:17:17,9,17
1484731137,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:18:57,2017-01-18 09:18:57,2017-01-18,09:18:57,9,18
1484731217,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:20:17,2017-01-18 09:20:17,2017-01-18,09:20:17,9,20
